"type","value","source"
"hash_sha256","372d89d7dd45b2120f45705a4aa331dfff813a4be642971422e470eb725c4646","public"
"hash_sha256","08b9f93000512b45f8c2e8d3d6624536b366e67c40fd4b958db58e3a1d129c3d","public"
"hash_sha256","d9f9584f4f071be9c5cf418cae91423c51d53ecf9924ed39b42028d1314a2edc","public"
"hash_sha256","09c2af472ab86b62a702e94a39df2bef09205f4249ed871cbeece751c1e7ef4f","public"
"hash_sha256","09474277051fc387a9b43f7f08a9bf4f6817c24768719b21f9f7163d9c5c8f74","public"
"hash_sha256","50651ed57b60d48da11117a170241da8669bf0e6e7ea76d7f2d364db80e16d6f","public"
"hash_sha1","f0855578b374eca832f9db6185ee9f984310aac0a23b6c0f4ccd0e779796065e","public"
"hash_md5","f0855578b374eca832f9db6185ee9f984310aac0a23b6c0f4ccd0e779796065e","public"
"domain","conmateapp.com","public"
"domain","confetly.com","public"
"domain","climatcon.com","public"
"domain","banifuri.com","public"
"domain","chrialletworton.com","public"
"domain","dcownil.com","public"
"domain","vo.takelecon.com","public"
"domain","runeton.com","public"
"domain","hamarit.com","public"
"domain","netarlio.com","public"
"domain","oblifagi.com","public"
"domain","pdfclickapp.com","public"
"url","https://sharepoint.xn--svenskaspel-52b.se","public"
"ip","212.104.128.2","public"
